Nutrient Value of Some Common Foods - 2008 Edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAIRY FOODS AND OTHER RELATED PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Vitamin D,Folate ,Vitamin B12,Riboflavin,,,,,,,,,,,,,,,,,,
,,g,kcal,kJ,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,RAE,µg,DFE,µg,mg,,,,,,,,,,,,,,,,,,
MILK AND SUBSTITUTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Half and half, 10% M.F.",15mL,15,18,76,tr,1,tr,2,1.0,5,16,tr,6,20,2,15,15,tr,tr,0.05,0.02,,,,,,,,,,,,,,,,,,
"Sour cream, 14% M.F.",15mL,15,22,93,tr,1,tr,2,1.3,6,16,tr,6,19,1,14,17,0.1,2,0.04,0.02,,,,,,,,,,,,,,,,,,
"Sour cream, light, 5% M.F.",15mL,16,21,89,1,1,tr,2,1.0,6,22,tr,11,33,2,11,14,,2,0.07,0.02,,,,,,,,,,,,,,,,,,
"Table cream (coffee cream), 18% M.F.",15mL,15,28,118,tr,1,tr,3,1.7,9,15,tr,6,19,1,13,25,0.1,tr,0.04,0.02,,,,,,,,,,,,,,,,,,
"Whipped, pressurized",60mL,15,39,164,tr,2,1,3,2.1,12,15,tr,20,22,2,14,29,0.1,tr,0.04,0.01,,,,,,,,,,,,,,,,,,
"Whipping cream, 35% M.F., not whipped",15mL,15,49,207,tr,tr,tr,5,3.3,19,10,tr,5,12,1,9,62,0.1,1,0.03,0.02,,,,,,,,,,,,,,,,,,
"Whipping cream, 35% M.F., sweetened, whipped",60mL,30,100,419,1,3,2,10,6.2,36,19,tr,10,23,2,17,117,0.2,1,0.05,0.03,,,,,,,,,,,,,,,,,,
IMITATION CHEESE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coffee whitener, frozen liquid",15mL,15,21,87,tr,2,2,2,0.3,0,1,tr,12,29,0,10,tr,0,0,0,0,,,,,,,,,,,,,,,,,,
"Coffee whitener, powdered",5mL,2,11,45,tr,1,1,1,0.6,0,tr,tr,4,16,tr,8,tr,0,0,0,tr,,,,,,,,,,,,,,,,,,
"Coffee whitener, powdered, light",5mL,2,9,36,tr,1,1,tr,0.1,0,tr,tr,5,18,0,3,tr,0,tr,0,0,,,,,,,,,,,,,,,,,,
"Dessert topping, frozen",60mL,19,60,253,tr,4,4,5,4.1,0,1,tr,5,3,tr,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,
"Dessert topping, frozen, low fat",60mL,19,42,175,1,4,4,2,2.1,tr,14,tr,14,19,1,14,1,,1,0.04,0.02,,,,,,,,,,,,,,,,,,
"Dessert topping, powdered, prepared with 2% M.F. milk",60mL,20,37,153,1,3,3,2,2.0,1,19,tr,12,31,2,18,9,0.2,1,0.07,0.03,,,,,,,,,,,,,,,,,,
"Dessert topping, pressurized",60mL,18,47,196,tr,3,3,4,3.4,0,1,tr,11,3,tr,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,
