Nutrient Value of Some Common Foods - 2008 Edition,,,,,,,,,,,,,,,,,,,,,
FRUIT AND FRUIT JUICES,,,,,,,,,,,,,,,,,,,,,
Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Dietary Fibre,Total Fat,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Beta carotene,Lycopene,Folate,Vitamin C,Vitamin B12
"Cranberry juice, unsweetened, ready-to-drink",125mL,134,61,257,1,16,16,0.1,tr,11,0.3,3,103,8,17,3,36,0,1,12,0
"Cranberry-apple juice-drink, ready-to-drink, low Calorie, vitamin C added",125mL,127,24,100,tr,6,6,0.1,0,13,0.1,6,57,4,1,1,8,0,0,41,0
"Grape juice, frozen, sweetened, diluted, vitamin C added",125mL,132,67,281,tr,17,17,0.1,tr,5,0.1,3,28,5,5,0,7,0,1,20,0
"Grape juice, ready-to-drink, vitamin C added",125mL,132,81,337,1,20,20,0.1,tr,12,0.3,4,174,13,15,0,7,0,4,32,0
"Grapefruit juice, ready-to-drink unsweetened or freshly squeezed",125mL,130,50,210,1,12,12,0.4,tr,10,0.3,1,206,14,17,1,11,0,13,44,0
"Grapefruit juice, ready-to-drink, sweetened",125mL,132,61,254,1,15,15,0.1,tr,11,0.5,3,214,13,15,0,4,0,13,36,0
"Lemon juice, canned or bottled",15mL,15,3,14,tr,1,tr,0.1,tr,2,tr,3,16,1,1,tr,tr,0,2,4,0
"Lime juice, canned or bottled",15mL,16,3,14,tr,1,tr,0.1,tr,2,tr,2,12,1,2,tr,2,0,1,1,0
"Nectar, apricot",125mL,133,74,310,tr,19,18,0.8,tr,9,0.5,4,151,7,12,88,1042,0,1,44,0
"Nectar, mango",125mL,133,68,281,tr,17,17,0.4,tr,23,0.5,7,32,4,3,46,533,0,9,20,0
"Orange and grapefruit juice, ready-to-drink",125mL,130,56,235,1,13,13,0.1,tr,10,0.6,4,206,13,18,8,26,0,18,38,0
"Orange juice, frozen, diluted",125mL,132,59,247,1,14,11,0.3,tr,12,0.1,1,250,13,21,7,22,0,58,51,0
"Orange juice, ready-to-drink",125mL,132,58,242,1,13,,0.3,tr,13,0.2,1,250,14,14,5,61,0,24,43,0
"Orange juice, ready-to-drink, refrigerated, vitamin D and calcium added",125mL,132,58,242,1,13,,0.3,tr,185,0.2,1,250,14,14,5,,0,,43,0
"Orange, strawberry and banana juice, ready-to-drink",125mL,124,57,237,1,15,13,0.2,tr,14,0.3,5,124,12,15,1,21,0,21,31,0
"Pineapple juice, ready-to-drink, vitamin C added",125mL,132,74,309,tr,18,13,0.3,tr,22,0.3,1,177,17,11,0,4,0,30,32,0
"Pomegranate juice, ready-to-drink",125mL,128,72,300,0,20,17,0,0,0,0,5,215,,,0,,,,0,0
"Prune juice, ready-to-drink",125mL,135,96,402,1,24,22,1.4,tr,16,1.6,5,373,19,34,0,3,0,0,6,0
