"lat","lon","business_name","foodtype"
49.28298256,-123.1172526,"Big Dogs Hot Eats","Hot Dogs"
49.28293763,-123.117314,"Meals United Foods and Juices","Sandwiches"
49.28051786,-123.1209519,"Van Dog","Hot Dogs"
49.27974551,-123.1221196,"Van Dog","Hot Dogs"
49.28236261,-123.1185915,"Kaboom Box","Seafood"
49.2838073,-123.1159976,"Emelles Westside Wheels","Sandwiches"
49.28247015,-123.1184268,"","Hot Dogs"
49.28281901,-123.1174661,"Nu Greek","Greek"
49.28257214,-123.1185013,"Soho Road Naan Kebab","Indian"
49.2844122,-123.109057,"","Hot Dogs"
49.28397573,-123.106545,"","Hot Dogs"
49.26221605,-123.0690727,"","Hot Dogs"
49.27299425,-123.1003407,"","Hot Dogs"
49.26338455,-123.1304201,"","Hot Dogs"
49.26358128,-123.1440556,"","Hot Dogs"
49.26532595,-123.114547,"","Hot Dogs"
49.22636675,-123.1162201,"Fasttrac Fusion","Asian Fusion"
49.26259305,-123.1390205,"Num Num","Vietnamese"
49.25847468,-123.1015691,"","Hot Dogs"
49.27300442,-123.0998126,"Taser Sandwiches","Grilled Cheese Sandwiches"
49.28441126,-123.1247314,"YVS Nuts","Chestnuts"
49.28765633,-123.1422458,"San Juan Family Farm","Juice and Smoothies"
49.272915,-123.125623,"Super Thai","Thai"
49.28243866,-123.1203452,"Feastro The Rolling Bistro","West Coast Fare"
49.28258445,-123.1214809,"Mr. Shawarma","Middle Eastern"
49.28056306,-123.1189656,"Guanaco Truck","El Salvadorian"
49.28030386,-123.1135489,"Reel Mac and Cheese","Homemade Macaroni and Cheese"
49.28039276,-123.1134287,"Dougie Luv Diner Truck","Diner"
49.27988742,-123.114506,"Patisserie Lebeau","Belgian Waffles"
49.28054406,-123.1132396,"Fat Duck Mobile Eatery","Comfort"
49.28044735,-123.1133302,"Culver City Salads","Salads"
49.28006682,-123.1139136,"Chou Chou Crepes","Crepes"
